age,job,marital,education,default,balance,housing,loan,contact,month,duration,poutcome,deposit
,blue-collar,single,secondary,no,-416.0,yes,no,unknown,may,767.0,unknown,yes
24.0,technician,single,secondary,no,409.0,yes,no,unknown,may,912.0,unknown,yes
50.0,admin.,divorced,secondary,no,363.0,yes,no,unknown,may,1340.0,unknown,yes
27.0,technician,single,tertiary,no,3706.0,yes,no,unknown,may,897.0,unknown,yes
,management,single,tertiary,no,4393.0,yes,no,unknown,may,1297.0,unknown,yes
,technician,single,secondary,no,863.0,yes,no,unknown,may,1193.0,unknown,yes
34.0,blue-collar,married,primary,no,,yes,yes,unknown,may,,unknown,yes
37.0,management,single,secondary,no,792.0,yes,no,unknown,may,1187.0,unknown,yes
41.0,admin.,single,secondary,no,1020.0,yes,no,unknown,may,882.0,unknown,yes
47.0,blue-collar,married,secondary,no,863.0,yes,no,unknown,may,943.0,unknown,yes
31.0,admin.,married,secondary,no,97.0,yes,no,unknown,may,,unknown,yes
31.0,blue-collar,married,secondary,no,754.0,yes,no,unknown,may,1022.0,unknown,yes
43.0,services,divorced,secondary,no,,yes,no,unknown,may,552.0,unknown,yes
,management,,,no,,yes,no,unknown,may,,unknown,yes
30.0,technician,single,tertiary,no,,yes,yes,unknown,may,,unknown,yes
41.0,technician,married,secondary,no,,yes,no,unknown,may,579.0,unknown,yes
36.0,blue-collar,married,secondary,no,4438.0,yes,no,unknown,may,446.0,unknown,yes
35.0,blue-collar,divorced,secondary,no,0.0,yes,no,unknown,may,1205.0,unknown,yes
29.0,services,single,secondary,no,271.0,yes,no,unknown,may,1882.0,unknown,yes
35.0,blue-collar,,,no,,yes,no,unknown,may,,unknown,yes
31.0,blue-collar,married,secondary,no,2.0,yes,no,unknown,may,182.0,unknown,yes
,services,married,secondary,no,4170.0,yes,no,unknown,may,1777.0,unknown,yes
34.0,technician,single,secondary,no,85.0,yes,no,unknown,may,1182.0,unknown,yes
31.0,admin.,single,secondary,no,431.0,yes,yes,unknown,may,1045.0,unknown,yes
,technician,divorced,secondary,no,,yes,no,unknown,may,,unknown,yes
36.0,blue-collar,,,no,,yes,yes,unknown,may,,unknown,yes
35.0,blue-collar,married,unknown,no,4822.0,yes,no,unknown,may,,unknown,yes
41.0,blue-collar,married,primary,no,1250.0,yes,no,unknown,may,1392.0,unknown,yes
31.0,blue-collar,single,primary,no,216.0,yes,no,unknown,may,565.0,unknown,yes
34.0,blue-collar,married,secondary,no,1207.0,yes,no,unknown,may,905.0,unknown,yes
,technician,married,secondary,no,791.0,yes,no,unknown,may,783.0,unknown,yes
,management,married,tertiary,no,,yes,yes,unknown,may,958.0,unknown,yes
30.0,blue-collar,single,secondary,yes,239.0,yes,no,unknown,may,412.0,unknown,yes
37.0,technician,single,secondary,no,,yes,no,unknown,may,795.0,unknown,yes
36.0,blue-collar,married,primary,no,599.0,yes,no,unknown,may,649.0,unknown,yes
31.0,management,single,tertiary,no,825.0,yes,no,unknown,may,506.0,unknown,yes
,technician,married,secondary,no,2183.0,yes,yes,unknown,may,857.0,unknown,yes
34.0,retired,married,primary,no,,no,no,unknown,may,,unknown,yes
,technician,single,tertiary,no,1289.0,yes,no,unknown,may,1697.0,unknown,yes
,technician,single,tertiary,no,4665.0,yes,no,unknown,may,860.0,unknown,yes
37.0,technician,single,secondary,no,,yes,no,unknown,may,799.0,unknown,yes
32.0,blue-collar,married,secondary,no,783.0,yes,no,unknown,may,,unknown,yes
33.0,blue-collar,married,secondary,no,0.0,yes,no,unknown,may,521.0,unknown,yes
35.0,blue-collar,married,primary,no,,yes,no,unknown,may,1349.0,unknown,yes
35.0,self-employed,divorced,tertiary,no,,yes,no,unknown,may,736.0,unknown,yes
,blue-collar,single,secondary,no,239.0,yes,no,unknown,may,785.0,unknown,yes
45.0,blue-collar,divorced,primary,no,,yes,no,unknown,may,1030.0,unknown,yes
,admin.,married,secondary,no,,yes,no,unknown,may,893.0,unknown,yes
33.0,blue-collar,married,secondary,no,1464.0,yes,no,unknown,may,588.0,unknown,yes
44.0,management,divorced,tertiary,no,,no,no,unknown,may,,unknown,yes
40.0,blue-collar,married,primary,no,278.0,yes,no,unknown,may,1015.0,unknown,yes
31.0,blue-collar,married,secondary,no,2910.0,yes,no,unknown,may,1392.0,unknown,yes
30.0,technician,married,tertiary,no,,yes,no,unknown,may,414.0,unknown,yes
44.0,technician,divorced,secondary,no,,yes,no,unknown,may,,unknown,yes
34.0,services,married,secondary,no,-538.0,yes,no,unknown,may,682.0,unknown,yes
37.0,blue-collar,married,secondary,no,125.0,no,no,unknown,may,679.0,unknown,yes
,self-employed,single,tertiary,no,0.0,yes,no,unknown,may,1560.0,unknown,yes
32.0,admin.,single,secondary,no,620.0,yes,no,unknown,may,1234.0,unknown,yes
37.0,blue-collar,divorced,secondary,no,,yes,no,unknown,may,642.0,unknown,yes
34.0,management,married,tertiary,no,2287.0,yes,no,unknown,may,895.0,unknown,yes
38.0,admin.,divorced,secondary,no,198.0,yes,no,unknown,may,431.0,unknown,yes
28.0,admin.,single,secondary,no,460.0,yes,no,unknown,may,741.0,unknown,yes
31.0,management,divorced,tertiary,no,1145.0,yes,no,unknown,may,1272.0,unknown,yes
59.0,services,married,secondary,no,-22.0,yes,no,unknown,may,748.0,unknown,yes
24.0,blue-collar,married,secondary,no,685.0,yes,no,unknown,may,896.0,unknown,yes
26.0,services,single,secondary,no,901.0,yes,no,unknown,may,764.0,unknown,yes
59.0,retired,single,secondary,no,351.0,yes,no,unknown,may,1063.0,unknown,yes
30.0,entrepreneur,,,no,,yes,yes,unknown,may,,unknown,yes
,admin.,married,secondary,no,,yes,no,unknown,may,731.0,unknown,yes
30.0,admin.,single,secondary,no,-213.0,yes,yes,unknown,may,751.0,unknown,yes
,blue-collar,married,secondary,no,97.0,yes,no,unknown,may,709.0,unknown,yes
44.0,services,divorced,secondary,no,51.0,yes,yes,unknown,may,3094.0,unknown,yes
29.0,management,married,tertiary,no,314.0,no,no,unknown,may,938.0,unknown,yes
26.0,management,single,tertiary,no,6840.0,yes,no,unknown,may,1560.0,unknown,yes
26.0,technician,single,secondary,no,668.0,yes,no,unknown,may,576.0,unknown,yes
,services,single,secondary,no,54.0,yes,no,unknown,may,543.0,unknown,yes
25.0,self-employed,single,secondary,no,1242.0,yes,no,unknown,may,615.0,unknown,yes
28.0,management,married,secondary,no,292.0,yes,no,unknown,may,507.0,unknown,yes
23.0,services,single,secondary,no,665.0,yes,no,unknown,may,1183.0,unknown,yes
34.0,management,single,tertiary,no,1058.0,yes,no,unknown,may,864.0,unknown,yes
28.0,student,single,secondary,no,949.0,yes,no,unknown,may,1730.0,unknown,yes
,entrepreneur,married,unknown,no,606.0,yes,no,unknown,may,560.0,unknown,yes
,blue-collar,married,secondary,no,0.0,yes,yes,unknown,may,543.0,unknown,yes
35.0,admin.,married,secondary,no,,yes,no,unknown,may,539.0,unknown,yes
56.0,blue-collar,married,secondary,no,249.0,yes,no,unknown,may,791.0,unknown,yes
45.0,unemployed,divorced,secondary,no,3354.0,yes,no,unknown,may,746.0,unknown,yes
60.0,blue-collar,divorced,secondary,no,0.0,yes,no,unknown,may,1207.0,unknown,yes
56.0,technician,,secondary,no,,yes,no,unknown,may,,unknown,yes
27.0,management,single,tertiary,no,12956.0,yes,no,unknown,may,789.0,unknown,yes
30.0,admin.,married,secondary,no,873.0,yes,no,unknown,may,792.0,unknown,yes
45.0,blue-collar,divorced,primary,no,594.0,yes,no,unknown,may,833.0,unknown,yes
29.0,blue-collar,,secondary,no,,yes,no,unknown,may,,unknown,yes
38.0,management,divorced,tertiary,no,4692.0,yes,no,unknown,may,1363.0,unknown,yes
30.0,blue-collar,married,secondary,no,,yes,no,unknown,may,1109.0,unknown,yes
44.0,blue-collar,single,primary,no,1593.0,yes,no,unknown,may,828.0,unknown,yes
36.0,management,single,tertiary,no,7606.0,yes,no,unknown,may,917.0,unknown,yes
38.0,technician,married,secondary,no,226.0,yes,no,unknown,may,762.0,unknown,yes
36.0,blue-collar,single,secondary,no,366.0,yes,yes,unknown,may,1133.0,unknown,yes
37.0,management,divorced,secondary,no,16.0,yes,no,unknown,may,638.0,unknown,yes
35.0,management,single,tertiary,no,,yes,no,unknown,may,763.0,unknown,yes
38.0,admin.,divorced,secondary,no,19.0,yes,no,unknown,may,604.0,unknown,yes
40.0,services,married,primary,no,,yes,no,unknown,may,854.0,unknown,yes
42.0,unemployed,divorced,secondary,no,1713.0,yes,no,unknown,may,855.0,unknown,yes
46.0,management,divorced,tertiary,no,,yes,no,unknown,may,1269.0,unknown,yes
,technician,divorced,secondary,no,5724.0,yes,no,unknown,may,691.0,unknown,yes
,technician,divorced,secondary,no,1451.0,yes,no,unknown,may,1097.0,unknown,yes
,services,married,secondary,no,-34.0,yes,no,unknown,may,1236.0,unknown,yes
50.0,unemployed,married,secondary,no,3674.0,yes,no,unknown,may,886.0,unknown,yes
35.0,blue-collar,married,secondary,no,698.0,yes,yes,unknown,may,1343.0,unknown,yes
36.0,technician,single,secondary,no,4136.0,yes,no,unknown,may,812.0,unknown,yes
53.0,blue-collar,divorced,primary,no,2656.0,yes,no,unknown,may,1980.0,unknown,yes
46.0,management,single,tertiary,no,,yes,no,unknown,may,984.0,unknown,yes
26.0,management,single,tertiary,no,1004.0,yes,no,unknown,may,228.0,unknown,yes
45.0,technician,single,secondary,no,410.0,yes,no,unknown,may,891.0,unknown,yes
31.0,unemployed,divorced,primary,no,0.0,yes,no,unknown,may,745.0,unknown,yes
29.0,management,single,tertiary,no,0.0,yes,no,unknown,may,539.0,unknown,yes
,entrepreneur,single,secondary,no,62.0,yes,no,unknown,may,1044.0,unknown,yes
27.0,blue-collar,married,primary,no,416.0,yes,no,unknown,may,1193.0,unknown,yes
39.0,management,married,tertiary,no,2763.0,yes,no,unknown,jun,526.0,unknown,yes
36.0,services,married,secondary,no,,yes,no,unknown,jun,394.0,unknown,yes
41.0,blue-collar,married,primary,no,,yes,yes,unknown,jun,659.0,unknown,yes
36.0,services,married,primary,no,0.0,yes,no,unknown,jun,1036.0,unknown,yes
,technician,married,secondary,no,,yes,no,unknown,jun,815.0,unknown,yes
35.0,services,married,secondary,no,152.0,yes,no,unknown,jun,563.0,unknown,yes
,management,single,tertiary,no,-78.0,yes,no,unknown,jun,1068.0,unknown,yes
35.0,management,married,tertiary,no,867.0,yes,no,unknown,jun,230.0,unknown,yes
30.0,blue-collar,single,secondary,no,,yes,no,unknown,jun,747.0,unknown,yes
42.0,blue-collar,married,secondary,no,443.0,yes,no,unknown,jun,671.0,unknown,yes
42.0,technician,single,secondary,yes,-1129.0,yes,no,unknown,jun,,unknown,yes
32.0,blue-collar,married,primary,no,415.0,yes,no,unknown,jun,777.0,unknown,yes
29.0,blue-collar,single,secondary,no,260.0,yes,no,unknown,jun,707.0,unknown,yes
44.0,management,divorced,tertiary,yes,,yes,no,unknown,jun,432.0,unknown,yes
,technician,,,no,,yes,no,unknown,jun,,unknown,yes
31.0,unemployed,married,secondary,no,86.0,yes,yes,unknown,jun,963.0,unknown,yes
40.0,self-employed,,secondary,yes,,yes,yes,unknown,jun,,unknown,yes
43.0,entrepreneur,married,secondary,no,0.0,no,no,unknown,jun,,unknown,yes
27.0,management,,,no,,yes,no,unknown,jun,,unknown,yes
37.0,services,single,secondary,no,278.0,yes,no,unknown,jun,1045.0,unknown,yes
23.0,services,single,secondary,no,,yes,no,unknown,jun,768.0,unknown,yes
25.0,management,married,primary,no,,yes,no,unknown,jun,801.0,unknown,yes
26.0,blue-collar,single,secondary,yes,-36.0,yes,no,unknown,jun,482.0,unknown,yes
47.0,blue-collar,divorced,primary,no,126.0,yes,no,unknown,jun,2456.0,unknown,yes
35.0,admin.,married,secondary,no,,yes,no,unknown,jun,1363.0,unknown,yes
,technician,single,tertiary,no,6281.0,yes,no,unknown,jun,1336.0,unknown,yes
,management,divorced,secondary,no,644.0,yes,no,unknown,jun,633.0,unknown,yes
,admin.,divorced,secondary,no,,yes,no,unknown,jun,524.0,unknown,yes
29.0,services,single,secondary,no,-271.0,yes,no,unknown,jun,578.0,unknown,yes
38.0,blue-collar,married,primary,no,5839.0,yes,no,unknown,jun,984.0,unknown,yes
,blue-collar,single,secondary,no,492.0,yes,no,unknown,jun,638.0,unknown,yes
27.0,management,single,tertiary,no,99.0,yes,no,unknown,jun,767.0,unknown,yes
27.0,management,single,tertiary,yes,-713.0,yes,no,unknown,jun,525.0,unknown,yes
29.0,services,single,secondary,no,,yes,no,unknown,jun,563.0,unknown,yes
30.0,self-employed,married,tertiary,no,543.0,yes,yes,unknown,jun,1449.0,unknown,yes
36.0,blue-collar,married,primary,no,403.0,yes,no,unknown,jun,920.0,unknown,yes
35.0,admin.,divorced,secondary,no,437.0,yes,no,unknown,jun,908.0,unknown,yes
36.0,blue-collar,married,secondary,no,1772.0,no,no,unknown,jun,208.0,unknown,yes
,retired,divorced,primary,no,-88.0,yes,no,unknown,jun,910.0,unknown,yes
47.0,entrepreneur,married,secondary,no,0.0,no,no,unknown,jun,1446.0,unknown,yes
58.0,entrepreneur,married,tertiary,no,,no,no,unknown,jun,1149.0,unknown,yes
37.0,management,single,tertiary,no,240.0,no,no,unknown,jun,1123.0,unknown,yes
46.0,admin.,single,secondary,no,,yes,no,unknown,jun,508.0,unknown,yes
43.0,blue-collar,single,secondary,no,,yes,no,unknown,jun,736.0,unknown,yes
27.0,management,single,tertiary,no,703.0,yes,no,unknown,jun,590.0,unknown,yes
38.0,services,divorced,secondary,no,,no,no,unknown,jun,,unknown,yes
,housemaid,married,primary,no,104.0,no,yes,unknown,jun,701.0,unknown,yes
47.0,blue-collar,married,secondary,no,1996.0,no,no,unknown,jun,761.0,unknown,yes
56.0,housemaid,divorced,primary,yes,1238.0,no,no,unknown,jun,,unknown,yes
41.0,housemaid,married,secondary,no,879.0,no,no,unknown,jun,1053.0,unknown,yes
,self-employed,married,secondary,no,425.0,yes,no,unknown,jun,562.0,unknown,yes
50.0,technician,,,no,,yes,no,unknown,jun,,unknown,yes
45.0,blue-collar,divorced,primary,no,844.0,no,no,unknown,jun,1018.0,unknown,yes
,blue-collar,married,secondary,no,860.0,yes,no,unknown,jun,884.0,unknown,yes
,technician,single,secondary,no,639.0,yes,no,unknown,jun,709.0,unknown,yes
,admin.,married,secondary,no,710.0,yes,yes,unknown,jun,1276.0,unknown,yes
37.0,blue-collar,married,unknown,no,1508.0,no,yes,unknown,jun,381.0,unknown,yes
30.0,admin.,single,secondary,no,,yes,no,unknown,jun,862.0,unknown,yes
38.0,management,single,tertiary,no,619.0,yes,no,unknown,jun,460.0,unknown,yes
37.0,services,,secondary,no,,yes,no,unknown,jun,,unknown,yes
53.0,technician,married,secondary,no,480.0,no,no,unknown,jun,648.0,unknown,yes
29.0,blue-collar,single,primary,no,213.0,yes,no,unknown,jun,2653.0,unknown,yes
35.0,management,single,tertiary,no,68.0,no,no,unknown,jun,1085.0,unknown,yes
,blue-collar,married,secondary,no,2788.0,yes,no,unknown,jun,369.0,unknown,yes
55.0,blue-collar,married,unknown,no,7561.0,no,no,unknown,jun,685.0,unknown,yes
49.0,management,,secondary,no,,yes,no,unknown,jun,,unknown,yes
50.0,services,married,secondary,no,,no,no,unknown,jun,882.0,unknown,yes
43.0,management,single,tertiary,no,,no,no,unknown,jun,,unknown,yes
,self-employed,divorced,tertiary,no,1382.0,no,no,unknown,jun,700.0,unknown,yes
38.0,technician,married,primary,no,217.0,yes,no,unknown,jun,491.0,unknown,yes
,blue-collar,divorced,primary,no,183.0,no,no,unknown,jun,940.0,unknown,yes
59.0,management,married,secondary,no,1321.0,no,no,unknown,jun,3881.0,unknown,yes
58.0,blue-collar,married,secondary,no,25.0,no,no,unknown,jun,486.0,unknown,yes
,self-employed,single,tertiary,no,4844.0,no,no,unknown,jun,1137.0,unknown,yes
,entrepreneur,married,tertiary,no,5345.0,no,no,unknown,jun,878.0,unknown,yes
41.0,admin.,single,secondary,no,812.0,no,yes,unknown,jun,583.0,unknown,yes
42.0,admin.,married,secondary,no,105.0,no,no,unknown,jun,1159.0,unknown,yes
,management,married,tertiary,no,-190.0,no,yes,unknown,jun,893.0,unknown,yes
57.0,housemaid,married,primary,no,625.0,no,yes,unknown,jun,867.0,unknown,yes
52.0,retired,married,unknown,no,,no,no,unknown,jun,706.0,unknown,yes
,retired,married,unknown,no,1033.0,no,no,unknown,jun,1199.0,unknown,yes
56.0,blue-collar,married,secondary,no,1210.0,no,no,unknown,jun,935.0,unknown,yes
49.0,management,married,tertiary,no,64.0,no,no,unknown,jun,586.0,unknown,yes
35.0,blue-collar,divorced,unknown,no,164.0,no,no,unknown,jun,967.0,unknown,yes
36.0,unemployed,married,secondary,no,,no,no,unknown,jun,595.0,unknown,yes
40.0,admin.,single,tertiary,no,1248.0,no,no,unknown,jun,1290.0,unknown,yes
55.0,blue-collar,married,secondary,no,0.0,no,no,unknown,jun,,unknown,yes
58.0,admin.,married,secondary,no,826.0,no,no,unknown,jun,885.0,unknown,yes
39.0,self-employed,married,tertiary,no,2630.0,no,no,unknown,jun,,unknown,yes
47.0,housemaid,single,tertiary,no,3727.0,no,no,unknown,jun,993.0,unknown,yes
40.0,management,married,secondary,no,406.0,yes,no,unknown,jun,577.0,unknown,yes
35.0,blue-collar,,tertiary,no,,no,no,unknown,jun,,unknown,yes
48.0,blue-collar,married,secondary,no,1000.0,yes,no,unknown,jun,1268.0,unknown,yes
48.0,management,divorced,tertiary,no,503.0,no,yes,unknown,jun,,unknown,yes
24.0,blue-collar,single,secondary,yes,-203.0,yes,no,unknown,jun,465.0,unknown,yes
49.0,blue-collar,married,primary,no,361.0,yes,no,unknown,jun,,unknown,yes
36.0,blue-collar,married,secondary,no,274.0,yes,no,unknown,jun,686.0,unknown,yes
52.0,retired,divorced,tertiary,no,3687.0,yes,yes,unknown,jun,741.0,unknown,yes
42.0,entrepreneur,single,unknown,no,323.0,no,no,unknown,jun,617.0,unknown,yes
,services,married,secondary,no,981.0,no,no,unknown,jun,,unknown,yes
36.0,blue-collar,divorced,secondary,no,638.0,yes,no,unknown,jun,1395.0,unknown,yes
,unemployed,single,tertiary,no,3229.0,no,no,unknown,jun,1089.0,unknown,yes
51.0,management,single,secondary,no,1610.0,yes,no,unknown,jun,1248.0,unknown,yes
51.0,blue-collar,,,no,,no,yes,unknown,jun,,unknown,yes
46.0,technician,,,no,,yes,no,unknown,jun,,unknown,yes
37.0,management,married,tertiary,no,0.0,no,no,unknown,jun,637.0,unknown,yes
36.0,entrepreneur,married,tertiary,no,3057.0,no,no,unknown,jun,2769.0,unknown,yes
47.0,management,married,secondary,no,2892.0,no,no,unknown,jun,556.0,unknown,yes
40.0,technician,divorced,tertiary,no,,no,no,unknown,jun,522.0,unknown,yes
,student,single,tertiary,no,3316.0,no,no,unknown,jun,1345.0,unknown,yes
,management,married,secondary,no,106.0,no,no,unknown,jun,676.0,unknown,yes
39.0,blue-collar,married,primary,no,,yes,no,unknown,jun,,unknown,yes
60.0,management,married,tertiary,no,3301.0,no,no,unknown,jun,2621.0,unknown,yes
39.0,self-employed,single,tertiary,no,426.0,no,no,unknown,jun,1029.0,unknown,yes
51.0,services,divorced,secondary,no,9.0,no,no,unknown,jun,371.0,unknown,yes
27.0,admin.,married,secondary,no,-97.0,yes,no,unknown,jun,,unknown,yes
41.0,management,single,tertiary,no,11008.0,no,no,unknown,jun,1540.0,unknown,yes
42.0,blue-collar,single,primary,no,,no,no,unknown,jun,973.0,unknown,yes
41.0,entrepreneur,,,no,,no,no,unknown,jun,,unknown,yes
33.0,technician,married,secondary,no,4.0,yes,yes,unknown,jun,625.0,unknown,yes
46.0,admin.,married,secondary,no,126.0,no,no,unknown,jun,1255.0,unknown,yes
31.0,blue-collar,,,no,,yes,no,unknown,jun,,unknown,yes
41.0,blue-collar,married,primary,no,219.0,no,yes,unknown,jun,1574.0,unknown,yes
41.0,blue-collar,divorced,secondary,no,3622.0,no,no,unknown,jun,1135.0,unknown,yes
55.0,retired,divorced,secondary,no,1580.0,no,yes,unknown,jun,1007.0,unknown,yes
53.0,technician,married,secondary,no,1319.0,no,no,unknown,jun,1318.0,unknown,yes
55.0,housemaid,married,primary,no,2152.0,no,no,unknown,jun,922.0,unknown,yes
39.0,services,married,secondary,no,2843.0,yes,no,unknown,jun,585.0,unknown,yes
40.0,entrepreneur,married,tertiary,yes,0.0,no,no,unknown,jun,952.0,unknown,yes
59.0,retired,married,primary,no,1115.0,no,no,unknown,jun,834.0,unknown,yes
,blue-collar,,secondary,no,,no,no,unknown,jun,,unknown,yes
41.0,blue-collar,married,primary,no,246.0,no,no,unknown,jun,683.0,unknown,yes
27.0,blue-collar,married,secondary,no,,yes,no,unknown,jun,1012.0,unknown,yes
,blue-collar,single,secondary,no,-191.0,yes,no,unknown,jun,,unknown,yes
43.0,unemployed,married,primary,no,519.0,no,no,unknown,jun,973.0,unknown,yes
44.0,services,married,secondary,no,,no,yes,unknown,jun,,unknown,yes
